index	scientific	common	prob	iberia	world
6158	Tringa ochropus	Green Sandpiper	0.6913	1414	1414
3657	Monticola solitarius	Blue Rock-Thrush	0.6896	1806	1806
4029	Oenanthe deserti	Desert Wheatear	0.6887	8	1718
970	Caprimulgus europaeus	Eurasian Nightjar	0.6866	287	2703
1374	Circus pygargus	Montagu's Harrier	0.6861	1061	1061
31	Accipiter nisus	Eurasian Sparrowhawk	0.6856	1131	1131
5325	Riparia riparia	Bank Swallow	0.6852	2085	2085
1113	Certhia brachydactyla	Short-toed Treecreeper	0.6851	2683	2683
1791	Cyanopica cooki	Iberian Magpie	0.6848	4864	4864
425	Apus melba	Alpine Swift	0.6826	1056	1056
3390	Mareca penelope	Eurasian Wigeon	0.6812	849	849
2796	Hippolais polyglotta	Melodious Warbler	0.6800	1343	1343
1168	Charadrius hiaticula	Common Ringed Plover	0.6781	4254	4254
633	Aythya nyroca	Ferruginous Duck	0.6774	578	578
866	Calidris pugnax	Ruff	0.6773	1071	1071
1207	Chlidonias leucopterus	White-winged Tern	0.6771	41	3885
4032	Oenanthe hispanica	Western Black-eared Wheatear	0.6763	755	755
3225	Limosa limosa	Black-tailed Godwit	0.6762	3266	3266
1366	Circaetus gallicus	Short-toed Snake-Eagle	0.6747	2439	2439
2097	Emberiza cirlus	Cirl Bunting	0.6733	2902	2902
2371	Fringilla montifringilla	Brambling	0.6730	219	18495
5214	Rallus aquaticus	Water Rail	0.6725	368	4755
4035	Oenanthe leucura	Black Wheatear	0.6701	964	964
2305	Ficedula albicollis	Collared Flycatcher	0.6698	9	2951
4531	Phylloscopus bonelli	Western Bonelli's Warbler	0.6682	733	733
5042	Pterocles exustus	Chestnut-bellied Sandgrouse	0.6680	0	749
4725	Plegadis falcinellus	Glossy Ibis	0.6679	4652	4652
3303	Lullula arborea	Wood Lark	0.6678	1727	1727
339	Anthus campestris	Tawny Pipit	0.6675	493	493
1370	Circus cyaneus	Hen Harrier	0.6660	340	54304
340	Anthus cervinus	Red-throated Pipit	0.6634	36	3210
1316	Ciconia nigra	Black Stork	0.6630	1237	1237
1631	Coturnix coturnix	Common Quail	0.6592	148	12401
5253	Regulus ignicapilla	Common Firecrest	0.6571	2377	2377
5377	Saxicola rubetra	Whinchat	0.6557	732	732
5424	Scolopax rusticola	Eurasian Woodcock	0.6548	90	4101
3527	Mergus serrator	Red-breasted Merganser	0.6537	125	41124
536	Asio otus	Long-eared Owl	0.6527	452	452
431	Aquila chrysaetos	Golden Eagle	0.6523	839	839
1985	Dryobates minor	Lesser Spotted Woodpecker	0.6520	489	489
2901	Ichthyaetus melanocephalus	Mediterranean Gull	0.6518	2617	2617
4702	Platalea leucorodia	Eurasian Spoonbill	0.6499	4429	4429
69	Acrocephalus scirpaceus	Eurasian Reed Warbler	0.6499	1050	1050
3250	Locustella luscinioides	Savi's Warbler	0.6493	62	1345
863	Calidris minuta	Little Stint	0.6493	796	796
857	Calidris ferruginea	Curlew Sandpiper	0.6484	766	766
1334	Cinclus cinclus	White-throated Dipper	0.6477	806	806
1490	Columba oenas	Stock Dove	0.6454	444	444
1739	Curruca undata	Dartford Warbler	0.6454	996	996
3293	Loxia curvirostra	Red Crossbill	0.6451	832	832
2294	Falco peregrinus	Peregrine Falcon	0.6434	1364	1364
1734	Curruca hortensis	Western Orphean Warbler	0.6431	397	623
3473	Melanitta nigra	Common Scoter	0.6413	221	9043
68	Acrocephalus schoenobaenus	Sedge Warbler	0.6399	194	11759
4483	Phoenicurus phoenicurus	Common Redstart	0.6396	16088	16088
3315	Lymnocryptes minimus	Jack Snipe	0.6395	86	1071
4211	Pandion haliaetus	Osprey	0.6370	1844	1844
258	Anas acuta	Northern Pintail	0.6367	788	788
363	Anthus spinoletta	Water Pipit	0.6353	950	950
4552	Phylloscopus ibericus	Iberian Chiffchaff	0.6345	379	457
4266	Pastor roseus	Rosy Starling	0.6332	32	3150
872	Calidris temminckii	Temminck's Stint	0.6319	120	5379
2289	Falco columbarius	Merlin	0.6316	179	26674
1208	Chlidonias niger	Black Tern	0.6316	215	13558
852	Calidris alba	Sanderling	0.6301	4471	4471
4340	Pernis apivorus	European Honey-buzzard	0.6299	879	879
166	Alectoris rufa	Red-legged Partridge	0.6293	3879	3879
3958	Numenius phaeopus	Whimbrel	0.6255	3147	3147
6283	Turdus torquatus	Ring Ouzel	0.6253	164	2691
704	Botaurus stellaris	Great Bittern	0.6230	31	2823
4162	Oxyura jamaicensis	Ruddy Duck	0.6223	1	45744
3309	Luscinia svecica	Bluethroat	0.6223	760	760
981	Caprimulgus ruficollis	Red-necked Nightjar	0.6196	372	436
4422	Phasianus colchicus	Ring-necked Pheasant	0.6187	416	416
4765	Podiceps grisegena	Red-necked Grebe	0.6187	10	14934
485	Arenaria interpres	Ruddy Turnstone	0.6174	5846	5846
6461	Zapornia pusilla	Baillon's Crake	0.6156	12	1268
3392	Mareca strepera	Gadwall	0.6151	3279	3279
5326	Rissa tridactyla	Black-legged Kittiwake	0.6132	145	11391
3655	Monticola saxatilis	Rufous-tailed Rock-Thrush	0.6099	275	1938
4033	Oenanthe isabellina	Isabelline Wheatear	0.6087	6	3930
3104	Larus marinus	Great Black-backed Gull	0.6084	613	613
5709	Stercorarius parasiticus	Parasitic Jaeger	0.6069	80	4575
4755	Pluvialis squatarola	Black-bellied Plover	0.6065	2268	2268
3224	Limosa lapponica	Bar-tailed Godwit	0.6057	813	813
4411	Phalaropus lobatus	Red-necked Phalarope	0.6051	31	11233
534	Asio flammeus	Short-eared Owl	0.6040	195	12204
2172	Eremophila alpestris	Horned Lark	0.6027	4	21124
3664	Morus bassanus	Northern Gannet	0.6012	1695	1695
65	Acrocephalus paludicola	Aquatic Warbler	0.5968	16	114
3526	Mergus merganser	Common Merganser	0.5948	18	92374
2793	Hippolais icterina	Icterine Warbler	0.5915	2	2664
3078	Lanius meridionalis	Iberian Gray Shrike	0.5887	2954	2954
2826	Hydrocoloeus minutus	Little Gull	0.5887	242	5221
1733	Curruca curruca	Lesser Whitethroat	0.5828	17305	17305
2828	Hydroprogne caspia	Caspian Tern	0.5814	527	527
853	Calidris alpina	Dunlin	0.5805	3644	3644
632	Aythya marila	Greater Scaup	0.5796	110	21020
4249	Passer italiae	Italian Sparrow	0.5747	2	8958
6161	Tringa stagnatilis	Marsh Sandpiper	0.5715	36	7523
4860	Porzana porzana	Spotted Crake	0.5657	115	16661
88	Aegithalos caudatus	Long-tailed Tit	0.5654	4272	4272
2103	Emberiza hortulana	Ortolan Bunting	0.5650	209	4262
1413	Clamator glandarius	Great Spotted Cuckoo	0.5643	1197	1197
2414	Gallinago media	Great Snipe	0.5634	6	586
4762	Podiceps auritus	Horned Grebe	0.5545	38	24329
1175	Charadrius morinellus	Eurasian Dotterel	0.5519	130	759
5711	Stercorarius skua	Great Skua	0.5341	86	1385
4639	Picus viridis	Eurasian Green Woodpecker	0.5313	2227	2227
6459	Zapornia parva	Little Crake	0.5297	28	700
3254	Locustella naevia	Common Grasshopper-Warbler	0.5213	57	1937
1372	Circus macrourus	Pallid Harrier	0.5204	36	3402
1414	Clamator jacobinus	Pied Cuckoo	0.5115	0	1849
4636	Picus sharpei	Iberian Green Woodpecker	0.5039	2227	2227
5567	Sitta europaea	Eurasian Nuthatch	0.4965	2336	2336
1416	Clanga clanga	Greater Spotted Eagle	0.4812	26	6651
2194	Estrilda astrild	Common Waxbill	0.4426	2486	2486
2300	Falco vespertinus	Red-footed Falcon	0.4215	61	3988
2824	Hydrobates pelagicus	European Storm-Petrel	0.4049	126	505
3900	Netta rufina	Red-crested Pochard	0.3937	1688	1688
3070	Lanius collurio	Red-backed Shrike	0.3776	804	804
1670	Crex crex	Corn Crake	0.3715	4	1671
101	Aegypius monachus	Cinereous Vulture	0.3682	5097	5097
3764	Myiopsitta monachus	Monk Parakeet	0.3583	7564	7564
356	Anthus petrosus	Rock Pipit	0.3499	29	4714
3089	Larus argentatus	Herring Gull	0.3418	251	116038
1417	Clanga pomarina	Lesser Spotted Eagle	0.3409	1	2761
1803	Cygnus olor	Mute Swan	0.3359	1143	1143
66	Acrocephalus palustris	Marsh Warbler	0.3219	1	3310
5033	Pternistis bicalcaratus	Double-spurred Francolin	0.2993	0	343
862	Calidris melanotos	Pectoral Sandpiper	0.2863	60	11919
3274	Lophophanes cristatus	Crested Tit	0.2834	2252	2252
5261	Remiz pendulinus	Eurasian Penduline-Tit	0.2570	538	538
26	Accipiter gentilis	Northern Goshawk	0.2514	586	586
2377	Fulica cristata	Red-knobbed Coot	0.2478	780	780
424	Apus caffer	White-rumped Swift	0.2406	51	765
764	Bulweria bulwerii	Bulwer's Petrel	0.2248	53	358
5127	Puffinus puffinus	Manx Shearwater	0.2229	481	481
5710	Stercorarius pomarinus	Pomarine Jaeger	0.2146	20	2261
5324	Riparia paludicola	Plain Martin	0.1868	0	948
5175	Pyrrhocorax graculus	Yellow-billed Chough	0.1791	434	434
2098	Emberiza citrinella	Yellowhammer	0.1774	313	42262
4778	Poecile palustris	Marsh Tit	0.1751	143	15605
430	Aquila adalberti	Spanish Eagle	0.1727	1866	1866
5751	Streptopelia roseogrisea	African Collared-Dove	0.1715	86	984
5182	Pyrrhula pyrrhula	Eurasian Bullfinch	0.1654	670	670
1997	Dryocopus martius	Black Woodpecker	0.1627	50	13851
995	Carduelis citrinella	Citril Finch	0.1572	151	632
5136	Pycnonotus cafer	Red-vented Bulbul	0.1489	37	13530
478	Ardenna grisea	Sooty Shearwater	0.1329	25	4816
996	Carduelis corsicana	Corsican Finch	0.1309	0	244
6266	Turdus pilaris	Fieldfare	0.1276	117	79469
2497	Geronticus eremita	Northern Bald Ibis	0.1254	333	1142
4410	Phalaropus fulicarius	Red Phalarope	0.1250	112	2466
726	Branta bernicla	Brant	0.1214	128	18303
306	Anser albifrons	Greater White-fronted Goose	0.1190	21	28212
151	Alca torda	Razorbill	0.1181	411	411
3094	Larus canus	Common Gull	0.1142	369	43018
2821	Hydrobates castro	Band-rumped Storm-Petrel	0.1045	9	285
2362	Fratercula arctica	Atlantic Puffin	0.1037	1165	1165
2449	Gavia immer	Common Loon	0.1015	227	45631
5760	Strix aluco	Tawny Owl	0.0941	684	684
4568	Phylloscopus orientalis	Eastern Bonelli's Warbler	0.0853	0	141
2380	Fulmarus glacialis	Northern Fulmar	0.0758	17	10482
6326	Uria aalge	Common Murre	0.0758	109	16923
5254	Regulus madeirensis	Madeira Firecrest	0.0758	287	289
757	Bucephala clangula	Common Goldeneye	0.0675	19	75800
1798	Cygnus atratus	Black Swan	0.0648	379	25548
5974	Tetrax tetrax	Little Bustard	0.0638	870	870
856	Calidris falcinellus	Broad-billed Sandpiper	0.0624	5	1188
2451	Gavia stellata	Red-throated Loon	0.0587	56	10359
6056	Tichodroma muraria	Wallcreeper	0.0559	101	1281
3525	Mergellus albellus	Smew	0.0542	3	6520
1418	Clangula hyemalis	Long-tailed Duck	0.0540	36	18500
139	Aix galericulata	Mandarin Duck	0.0534	360	17522
629	Aythya collaris	Ring-necked Duck	0.0522	185	55243
3952	Nucifraga caryocatactes	Eurasian Nutcracker	0.0521	0	6110
3102	Larus hyperboreus	Glaucous Gull	0.0510	54	6090
4554	Phylloscopus inornatus	Yellow-browed Warbler	0.0477	90	2364
1881	Dendrocoptes medius	Middle Spotted Woodpecker	0.0468	30	10125
1115	Certhia familiaris	Eurasian Treecreeper	0.0463	25	20387
3100	Larus glaucoides	Iceland Gull	0.0454	51	10155
2223	Euodice malabarica	Indian Silverbill	0.0430	0	3821
743	Bubo bubo	Eurasian Eagle-Owl	0.0424	17096	17096
4777	Poecile montanus	Willow Tit	0.0424	0	24772
1585	Corvus frugilegus	Rook	0.0409	158	41873
2448	Gavia arctica	Arctic Loon	0.0399	23	4999
860	Calidris maritima	Purple Sandpiper	0.0387	196	4972
3659	Montifringilla nivalis	White-winged Snowfinch	0.0379	70	1807
3388	Mareca americana	American Wigeon	0.0362	44	60043
5578	Sitta whiteheadi	Corsican Nuthatch	0.0344	0	124
1079	Cepphus grylle	Black Guillemot	0.0331	0	7150
2048	Egretta gularis	Western Reef-Heron	0.0324	29	3801
5519	Setophaga coronata	Yellow-rumped Warbler	0.0314	1	166101
2175	Eremopterix nigriceps	Black-crowned Sparrow-Lark	0.0307	0	454
5790	Sula leucogaster	Brown Booby	0.0288	27	6301
1800	Cygnus columbianus	Tundra Swan	0.0277	0	14605
4321	Perdix perdix	Gray Partridge	0.0266	9	11595
4385	Phaethon aethereus	Red-billed Tropicbird	0.0262	9	1492
5593	Spatula discors	Blue-winged Teal	0.0256	29	48268
5713	Sterna dougallii	Roseate Tern	0.0236	56	1302
1578	Corvus cornix	Hooded Crow	0.0229	45	114404
729	Branta leucopsis	Barnacle Goose	0.0223	148	13841
3135	Leiothrix lutea	Red-billed Leiothrix	0.0221	72	2012
4723	Plectrophenax nivalis	Snow Bunting	0.0211	95	13780
627	Aythya affinis	Lesser Scaup	0.0207	77	35313
4769	Podilymbus podiceps	Pied-billed Grebe	0.0199	41	70092
